Department_ID,Department_Name,Department_Manager,Region
1,Product Support,Rebecca Ray,EMEA
2,Complaints,Melissa Adams,APAC
3,Account Management,Victoria Yu,Americas
4,Complaints,Jonathan Alexander,APAC
5,Complaints,Garrett Lowery,EMEA
6,Billing,Linda Brown,EMEA
7,Account Management,Victoria Archer,EMEA
8,Account Management,Kim Cooley,EMEA
9,Account Management,Lee Graham,APAC
10,Complaints,Mr. Albert Smith,EMEA
11,Product Support,James Fry,EMEA
12,Account Management,Robert Gonzalez,Americas
13,Complaints,Russell Davis,EMEA
14,Billing,Gerald Mcdonald,Americas
15,Product Support,Caroline Osborn,EMEA
16,Billing,Michael Nguyen,EMEA
17,Product Support,Philip Maldonado,Americas
18,Complaints,William Howell,EMEA
19,Technical Support,Andrea Stout,APAC
20,Product Support,Jillian Daniel,APAC
21,Billing,Amy Valdez,EMEA
22,Complaints,James Bell,APAC
23,Product Support,Sarah Richardson,Americas
24,Technical Support,Kelly Moon,EMEA
25,Technical Support,Amber Robinson,EMEA
26,Account Management,Austin Ortiz,Americas
27,Account Management,Donna Newman,Americas
28,Billing,Melissa Riley,Americas
29,Product Support,Miranda Nguyen,EMEA
30,Product Support,Jason Turner,Americas
31,Account Management,Michelle Morrison,Americas
32,Product Support,Katherine Contreras,APAC
33,Product Support,Kyle Benjamin,APAC
34,Technical Support,Colin Harrison,EMEA
35,Account Management,Alicia Murphy,APAC
36,Complaints,Linda Johnson,APAC
37,Account Management,Darren Bryant,Americas
38,Complaints,Joseph Perkins,Americas
39,Technical Support,Joyce Prince,APAC
40,Billing,Mary Woods,APAC
41,Product Support,Mary Wagner,APAC
42,Technical Support,Howard King,EMEA
43,Product Support,Stephanie Gregory,EMEA
44,Billing,Stephanie Booth,EMEA
45,Billing,Robert Kirk,APAC
46,Technical Support,Leslie Hunt,APAC
47,Billing,Karla Patterson,EMEA
48,Complaints,Billy Taylor,EMEA
49,Billing,Bryan Roberts,APAC
50,Product Support,Jennifer Soto,Americas
51,Product Support,Brian Bryant,EMEA
52,Product Support,Alexander Davis,APAC
